Sehir,Zaman_Damgasi,Sicaklik_C,Nem_Yuzde,Ruzgar_kmh,Basinc_hPa,Hissedilen_C,Yagis_Var_Mi
Adana,2024-01-06 20:00:00,11.666666666666666,64.5,0.80467,1020.657946,5.0,0.0
Adana,2024-01-06 21:00:00,12.222222222222221,62.0,4.8280199999999995,1020.6579459999999,5.0,0.0
Adana,2024-01-06 22:00:00,10.555555555555555,71.0,7.242030000000001,1020.657946,5.555555555555555,0.0
Adana,2024-01-06 23:00:00,10.0,76.5,8.85137,1020.657946,6.111111111111111,0.0
Adana,2024-01-07 00:00:00,9.444444444444445,73.5,8.0467,1020.657946,5.0,0.0
Adana,2024-01-07 01:00:00,8.333333333333334,78.5,12.07005,1020.1499875,5.0,0.0
Adana,2024-01-07 02:00:00,8.88888888888889,79.0,10.46071,1019.642029,5.555555555555555,0.0
Adana,2024-01-07 03:00:00,8.333333333333334,78.5,10.460709999999999,1019.642029,5.0,0.0
Adana,2024-01-07 04:00:00,8.333333333333334,76.0,2.41401,1018.6261119999999,4.444444444444445,0.0
Adana,2024-01-07 05:00:00,8.055555555555555,78.5,1.60934,1018.6261119999999,4.444444444444445,0.0
Adana,2024-01-07 06:00:00,8.055555555555555,78.5,5.63269,1018.6261119999999,4.444444444444445,0.0
Adana,2024-01-07 07:00:00,7.777777777777778,81.0,9.65604,1018.6261119999999,5.0,0.0
Adana,2024-01-07 08:00:00,10.0,73.5,3.21868,1018.6261119999999,5.555555555555555,0.0
Adana,2024-01-07 09:00:00,13.333333333333334,63.0,10.46071,1018.6261119999999,6.666666666666666,0.0
Adana,2024-01-07 10:00:00,14.444444444444445,57.0,12.07005,1019.1340705,6.111111111111111,0.0
Adana,2024-01-07 11:00:00,15.0,57.0,11.26538,1018.1181535000001,6.666666666666666,0.0
Adana,2024-01-07 12:00:00,16.11111111111111,55.0,12.07005,1017.1022365000001,7.222222222222222,0.0
Adana,2024-01-07 13:00:00,16.666666666666664,53.5,14.48406,1016.0863195,7.222222222222222,0.0
Adana,2024-01-07 14:00:00,17.77777777777778,49.0,15.28873,1015.578361,7.222222222222222,0.0
Adana,2024-01-07 15:00:00,17.77777777777778,52.0,15.28873,1015.0704025,7.777777777777778,0.0
Adana,2024-01-07 16:00:00,17.77777777777778,49.0,16.093400000000003,1014.562444,7.222222222222222,0.0
Adana,2024-01-07 17:00:00,16.666666666666664,53.5,12.87472,1014.562444,7.222222222222222,0.0
Adana,2024-01-07 18:00:00,15.555555555555555,55.5,14.48406,1014.562444,6.666666666666666,0.0
Adana,2024-01-07 19:00:00,15.0,55.0,13.67939,1014.562444,6.111111111111111,0.0
Adana,2024-01-07 20:00:00,14.444444444444445,57.0,12.07005,1014.562444,6.111111111111111,0.0
Adana,2024-01-07 21:00:00,13.333333333333334,61.0,11.26538,1014.562444,6.111111111111111,0.0
Adana,2024-01-07 22:00:00,13.88888888888889,59.0,11.26538,1014.562444,6.111111111111111,0.0
Adana,2024-01-07 23:00:00,12.5,62.5,10.46071,1014.562444,5.555555555555555,0.0
Adana,2024-01-08 00:00:00,12.777777777777779,60.5,8.85137,1014.562444,5.555555555555555,0.0
Adana,2024-01-08 01:00:00,12.222222222222221,62.0,8.85137,1013.546527,5.0,0.0
Adana,2024-01-08 02:00:00,10.555555555555555,69.0,8.85137,1013.546527,5.0,0.0
Adana,2024-01-08 03:00:00,11.11111111111111,69.0,10.46071,1013.546527,5.555555555555555,0.0
Adana,2024-01-08 04:00:00,10.555555555555555,73.5,10.46071,1013.546527,6.111111111111111,0.0
Adana,2024-01-08 05:00:00,11.11111111111111,71.0,8.85137,1013.546527,6.111111111111111,0.0
Adana,2024-01-08 06:00:00,11.11111111111111,73.5,5.63269,1013.546527,6.666666666666666,0.0
Adana,2024-01-08 07:00:00,11.11111111111111,76.0,6.43736,1013.546527,7.222222222222222,0.0
Adana,2024-01-08 08:00:00,13.055555555555555,67.5,11.26538,1014.562444,7.222222222222222,0.0
Adana,2024-01-08 09:00:00,13.888888888888891,64.33333333333333,10.192486666666667,1014.562444,7.407407407407407,1.0
Adana,2024-01-08 10:00:00,13.88888888888889,67.0,10.460709999999999,1014.562444,7.777777777777778,0.0
Adana,2024-01-08 11:00:00,13.88888888888889,67.0,13.67939,1015.0704025,7.777777777777778,0.0
Adana,2024-01-08 12:00:00,13.518518518518519,75.33333333333333,13.947613333333331,1014.562444,9.25925925925926,1.0
Adana,2024-01-08 13:00:00,13.88888888888889,79.5,12.87472,1014.0544855,10.555555555555555,1.0
Adana,2024-01-08 14:00:00,13.88888888888889,82.0,12.87472,1013.546527,11.11111111111111,1.0
Adana,2024-01-08 15:00:00,14.444444444444445,79.5,11.26538,1013.546527,11.11111111111111,0.0
Adana,2024-01-08 16:00:00,14.444444444444445,79.5,11.26538,1013.546527,11.11111111111111,1.0
Adana,2024-01-08 17:00:00,13.88888888888889,82.0,10.46071,1013.546527,11.11111111111111,1.0
Adana,2024-01-08 18:00:00,13.88888888888889,82.0,12.07005,1013.546527,11.11111111111111,1.0
Adana,2024-01-08 19:00:00,13.88888888888889,82.0,11.26538,1014.0544855,11.11111111111111,1.0
Adana,2024-01-08 20:00:00,13.333333333333334,85.0,9.65604,1014.0544855,11.11111111111111,0.0
Adana,2024-01-08 21:00:00,13.333333333333334,85.0,9.65604,1013.546527,11.11111111111111,0.0
Adana,2024-01-08 22:00:00,12.777777777777779,88.0,8.85137,1013.546527,11.11111111111111,0.0
Adana,2024-01-08 23:00:00,12.777777777777779,88.0,9.65604,1014.0544855,11.11111111111111,0.0
Adana,2024-01-09 00:00:00,12.5,91.0,11.26538,1013.546527,11.11111111111111,0.0
Adana,2024-01-09 01:00:00,12.222222222222221,91.0,10.46071,1013.546527,10.555555555555555,0.0
Adana,2024-01-09 02:00:00,12.222222222222221,91.0,10.46071,1013.546527,10.555555555555555,0.0
Adana,2024-01-09 03:00:00,12.222222222222221,91.0,11.26538,1013.546527,10.555555555555555,0.0
Adana,2024-01-09 04:00:00,12.222222222222221,91.0,9.65604,1013.0385685,10.555555555555555,0.0
Adana,2024-01-09 05:00:00,12.5,88.0,11.26538,1012.53061,10.555555555555555,0.0
Adana,2024-01-09 06:00:00,12.5,85.0,12.07005,1012.53061,10.0,0.0
Adana,2024-01-09 07:00:00,12.5,85.0,11.26538,1012.53061,10.0,0.0
Adana,2024-01-09 08:00:00,12.5,85.0,9.65604,1012.53061,10.0,0.0
Adana,2024-01-09 09:00:00,13.88888888888889,79.5,10.46071,1012.53061,10.555555555555555,0.0
Adana,2024-01-09 10:00:00,15.555555555555555,74.5,12.07005,1012.53061,11.11111111111111,0.0
Adana,2024-01-09 11:00:00,16.11111111111111,72.5,13.67939,1012.0226515,11.11111111111111,0.0
